epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,8338.71,1.28836,1.62008,1.46875,0.91172,0.89837,0.93978,0.5571,1.44057,1.29087,1.6721,0.00556742,0.00556742,0.00556742
72,8453.63,1.28544,1.65075,1.48124,0.93421,0.91225,0.9415,0.55334,1.48333,1.29176,1.70535,0.00546421,0.00546421,0.00546421
73,8568.68,1.28663,1.62338,1.47344,0.90598,0.91757,0.93471,0.55097,1.44409,1.29159,1.67154,0.00536081,0.00536081,0.00536081
74,8683.2,1.27999,1.61766,1.46842,0.92563,0.90064,0.93869,0.56059,1.43944,1.2694,1.68071,0.00525728,0.00525728,0.00525728
75,8798.05,1.26735,1.59248,1.4589,0.92625,0.89327,0.94335,0.56274,1.44012,1.29516,1.67034,0.00515366,0.00515366,0.00515366
76,8911.18,1.27446,1.59222,1.4619,0.93766,0.8962,0.94505,0.56908,1.45895,1.27767,1.68014,0.00505,0.00505,0.00505
77,9024.42,1.27471,1.58771,1.46488,0.92721,0.91185,0.95149,0.56156,1.45561,1.2727,1.69616,0.00494634,0.00494634,0.00494634
78,9138.31,1.26838,1.56586,1.44803,0.92635,0.9139,0.94733,0.56592,1.46362,1.26638,1.69111,0.00484272,0.00484272,0.00484272
79,9252.29,1.26851,1.60083,1.46185,0.94006,0.89444,0.94013,0.56697,1.45454,1.29849,1.69802,0.00473919,0.00473919,0.00473919
80,9365.18,1.26165,1.56924,1.44851,0.91836,0.89557,0.94018,0.56358,1.45392,1.28944,1.69428,0.00463579,0.00463579,0.00463579
81,9478.08,1.26099,1.57349,1.45436,0.93181,0.89665,0.94179,0.56867,1.43928,1.28789,1.69399,0.00453258,0.00453258,0.00453258
82,9592.84,1.25722,1.55552,1.44784,0.91727,0.89292,0.94222,0.56886,1.45334,1.27201,1.68714,0.0044296,0.0044296,0.0044296
83,9707.72,1.24897,1.54215,1.44202,0.93318,0.90327,0.94587,0.56033,1.48724,1.28858,1.69791,0.00432689,0.00432689,0.00432689
